iter	Passed	Remaining
902	17727	1904
903	17747	1884
904	17767	1865
905	17787	1845
906	17806	1825
907	17826	1806
908	17846	1786
909	17864	1766
910	17886	1747
911	17906	1727
912	17925	1708
913	17944	1688
914	17964	1668
915	17984	1649
916	18004	1629
917	18022	1609
918	18039	1590
919	18058	1570
920	18081	1550
921	18102	1531
922	18123	1511
923	18143	1492
924	18165	1472
925	18183	1453
926	18203	1433
927	18224	1413
928	18242	1394
929	18264	1374
930	18286	1355
931	18305	1335
932	18326	1316
933	18347	1296
934	18367	1276
935	18385	1257
936	18403	1237
937	18423	1217
938	18442	1198
939	18460	1178
940	18480	1158
941	18499	1139
942	18518	1119
943	18537	1099
944	18557	1080
945	18574	1060
946	18591	1040
947	18611	1020
948	18629	1001
949	18650	981
950	18670	961
951	18690	942
952	18709	922
953	18733	903
954	18755	883
955	18778	864
956	18798	844
957	18817	824
958	18836	805
959	18855	785
960	18875	766
961	18896	746
962	18918	726
963	18935	707
964	18957	687
965	18977	667
966	18997	648
967	19019	628
968	19039	609
969	19058	589
970	19076	569
971	19098	550
972	19118	530
973	19139	510
974	19159	491
975	19181	471
976	19199	451
977	19216	432
978	19234	412
979	19253	392
980	19272	373
981	19292	353
982	19312	333
983	19329	314
984	19347	294
985	19368	275
986	19387	255
987	19409	235
988	19426	216
989	19448	196
990	19465	176
991	19483	157
992	19505	137
993	19527	117
994	19548	98
995	19569	78
996	19589	58
997	19612	39
998	19632	19
999	19652	0
